postalsector,3am,6am,9am,12pm,3pm,6pm,9pm,12am
67,-0.269441917,-0.754791856,15.16000565,-0.838551307,-2.180757286,-2.483044201,-1.322332716,-0.191846786
68,-0.155723562,1.397826019,20.31692129,-0.790224927,-2.619270948,-3.106848198,-1.120321862,0.197524861
69,0.134391568,0.005348684,0.169965806,0.19339963,0.241067227,0.281582332,0.320372055,0.08835524
70,0.000282335,0.020108542,0.001317564,0.164852401,0.082222292,0.505850613,0.15693133,0.026539511
71,0.012046303,-0.035056624,0.089672805,0.233726511,0.23339712,0.119945415,0.023026006,0.009379804
72,0.02401418,-0.068497663,0.685902061,0.900633686,0.503827211,0.424553753,0.158703768,-0.284672334
73,-0.063462685,-0.101656367,-9.595993977,-2.39842206,-5.942560467,-6.058035574,-3.442042852,-0.231954073
75,0.06374502,-0.082739907,-2.918734511,4.532076419,1.163283872,2.467578505,1.228942498,0.767418515
76,-0.108087336,0.974762368,12.26989679,1.738290931,-2.340559024,-0.843821564,0.11859648,-0.234871537
77,0.008156351,-0.072168021,0.23040123,0.487561565,0.239655551,-0.659378235,0.111287135,-0.018273363
78,-0.079838128,0.206057659,-2.479765975,-0.917213038,-0.430921981,-1.750713681,-1.031213728,-0.321752361
79,0.897637795,1.508485742,10.57739122,5.900210183,3.528468802,4.835351507,1.188505819,1.042256172
80,-0.118502368,-0.9613985,1.417416946,-0.582190921,-1.285095837,-0.048247953,-0.550585061,-1.050130188
81,0.838221915,0.290711171,1.082426201,0.744925809,0.504407567,3.925824262,2.980440443,0.629529128
82,-0.160413464,1.717053048,17.07754808,5.856056091,1.366329956,2.327775512,0.348072278,-0.308043417
