id,postcode,SUBZONE_C,PLN_AREA_C,REGION_C
3,88440,OTSZ03,OT,CR
3,88438,OTSZ03,OT,CR
3,58466,OTSZ03,OT,CR
3,78993,OTSZ03,OT,CR
3,58943,OTSZ03,OT,CR
3,78987,OTSZ03,OT,CR
3,58941,OTSZ03,OT,CR
3,58939,OTSZ03,OT,CR
3,58937,OTSZ03,OT,CR
3,58935,OTSZ03,OT,CR
3,79531,OTSZ03,OT,CR
3,79532,OTSZ03,OT,CR
3,79530,OTSZ03,OT,CR
3,79529,OTSZ03,OT,CR
3,79528,OTSZ03,OT,CR
3,79527,OTSZ03,OT,CR
3,79526,OTSZ03,OT,CR
3,79525,OTSZ03,OT,CR
3,79524,OTSZ03,OT,CR
3,79523,OTSZ03,OT,CR
3,79522,OTSZ03,OT,CR
3,79521,OTSZ03,OT,CR
3,79520,OTSZ03,OT,CR
3,58929,OTSZ03,OT,CR
3,58927,OTSZ03,OT,CR
3,58925,OTSZ03,OT,CR
3,58923,OTSZ03,OT,CR
3,58921,OTSZ03,OT,CR
3,79330,OTSZ03,OT,CR
3,58919,OTSZ03,OT,CR
3,79328,OTSZ03,OT,CR
3,59501,OTSZ03,OT,CR
3,79326,OTSZ03,OT,CR
3,58561,OTSZ03,OT,CR
3,79324,OTSZ03,OT,CR
3,79322,OTSZ03,OT,CR
3,79318,OTSZ03,OT,CR
3,59503,OTSZ03,OT,CR
3,58341,OTSZ03,OT,CR
3,58805,OTSZ03,OT,CR
3,58836,OTSZ03,OT,CR
3,58824,OTSZ03,OT,CR
3,58816,OTSZ03,OT,CR
3,59506,OTSZ03,OT,CR
3,59505,OTSZ03,OT,CR
3,69690,OTSZ03,OT,CR
3,69453,OTSZ03,OT,CR
3,58772,OTSZ03,OT,CR
3,68979,OTSZ03,OT,CR
3,69424,OTSZ03,OT,CR
3,58750,OTSZ03,OT,CR
3,58748,OTSZ03,OT,CR
3,69434,OTSZ03,OT,CR
3,69900,OTSZ03,OT,CR
3,69410,OTSZ03,OT,CR
3,69405,OTSZ03,OT,CR
3,69249,OTSZ03,OT,CR
3,69250,OTSZ03,OT,CR
3,69247,OTSZ03,OT,CR
3,69252,OTSZ03,OT,CR
3,69248,OTSZ03,OT,CR
3,69255,OTSZ03,OT,CR
3,69254,OTSZ03,OT,CR
3,69403,OTSZ03,OT,CR
3,69404,OTSZ03,OT,CR
3,69256,OTSZ03,OT,CR
3,69402,OTSZ03,OT,CR
3,69401,OTSZ03,OT,CR
3,69400,OTSZ03,OT,CR
3,68633,OTSZ03,OT,CR
3,68623,OTSZ03,OT,CR
3,69931,OTSZ03,OT,CR
3,69933,OTSZ03,OT,CR
3,69934,OTSZ03,OT,CR
3,69936,OTSZ03,OT,CR
3,68732,OTSZ03,OT,CR
3,68731,OTSZ03,OT,CR
3,69854,OTSZ03,OT,CR
3,68725,OTSZ03,OT,CR
3,69688,OTSZ03,OT,CR
3,89857,OTSZ03,OT,CR
